tax_id	superkingdom	phylum	class	order	family	genus	species
18775	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Dematiopleospora	Dematiopleospora_fusiformis
18776	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_boreicyanites
18777	Fungi	Basidiomycota	Agaricomycetes	Boletales	Gomphidiaceae	Chroogomphus	Chroogomphus_purpurascens
18778	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Polydesmia	Polydesmia_pruinosa
18779	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_umbrinella
18780	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_leucocarpus
18781	Fungi	Basidiomycota	Microbotryomycetes	Microbotryales	Ustilentylomataceae	Ustilentyloma	Ustilentyloma_sp
18782	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Bacillicladium	Bacillicladium_clematidis
18783	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum_rachidicola
18784	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus_roseus
18785	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	Venturia_asperata
18786	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_semudaphilus
18787	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Ramariopsis	Ramariopsis_crocea
18788	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris_brizae
18789	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pseudoclitocybaceae	Harmajaea	Harmajaea_harperi
18790	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Pannariaceae	Psorophorus	Psorophorus_fuegiensis
18791	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Hodophilus	Hodophilus_phaeoxanthus
18792	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Liberomyces	Liberomyces_saliciphilus
18793	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Pseudocercospora	Pseudocercospora_rhoina
18794	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_bellanniae
18795	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Craterellus	Craterellus_fallax
18796	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus_leucothites
18797	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Allophylaria	Allophylaria_subliciformis
18798	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Cora	Cora_davicrinita
18799	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_theae
18800	Fungi	Basidiomycota	Cystobasidiomycetes	Naohideales	unidentified	unidentified	Naohideales_sp
18801	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Skeletocutis	Skeletocutis_delicata
18802	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Hemileccinum	Hemileccinum_depilatum
18803	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia	Auricularia_villosula
18804	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_caprimulgi
18805	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Coleophoma	Coleophoma_paracylindrospora
18806	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Trichophaea	Trichophaea_flavobrunnea
18807	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Diutina	Diutina_sp
18808	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_cinnamomeus
18809	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Terfezia	Terfezia_pseudoleptoderma
